THERM-01,THERM-02,THERM-03,THERM-04,HTR-01,HTR-02,HTR-03,HTR-04,TIMESTAMP,ENVIRONMENT,ERROR
-5,5,1,-5,On,Off,On,Off,2024-08-01T08:27:59.577897,Eclipse,
-4,6,2,-4,Off,On,Off,On,2024-08-01T08:28:09.577897,Sun Exposure,Sensor Error
-3,7,3,-3,On,Off,Off,On,2024-08-01T08:28:19.577897,Normal,
-5,8,4,-2,Off,On,On,Off,2024-08-01T08:28:29.577897,Eclipse,
-4,5,5,-1,On,Off,Off,On,2024-08-01T08:28:39.577897,Sun Exposure,Heater Failure
-3,6,1,0,Off,On,Off,On,2024-08-01T08:28:49.577897,Normal,
-5,7,2,-5,On,Off,On,Off,2024-08-01T08:28:59.577897,Eclipse,
-4,8,3,-4,Off,On,Off,On,2024-08-01T08:29:09.577897,Sun Exposure,Sensor Error
-3,5,4,-3,On,Off,Off,On,2024-08-01T08:29:19.577897,Normal,
-5,6,5,-2,Off,On,On,Off,2024-08-01T08:29:29.577897,Eclipse,
-4,7,1,-1,On,Off,Off,On,2024-08-01T08:29:39.577897,Sun Exposure,
-3,6,2,0,Off,On,Off,On,2024-08-01T08:29:49.577897,Normal,Heater Failure
-5,5,3,-3,On,Off,On,Off,2024-08-01T08:29:59.577897,Eclipse,
-4,8,4,-4,Off,On,Off,On,2024-08-01T08:30:09.577897,Sun Exposure,
-3,7,5,-1,On,Off,Off,On,2024-08-01T08:30:19.577897,Normal,Sensor Error
-5,6,1,0,Off,On,On,Off,2024-08-01T08:30:29.577897,Eclipse,
-4,5,2,-3,On,Off,Off,On,2024-08-01T08:30:39.577897,Sun Exposure,
-3,8,3,-4,Off,On,Off,On,2024-08-01T08:30:49.577897,Normal,Heater Failure
-5,7,4,-5,On,Off,On,Off,2024-08-01T08:30:59.577897,Eclipse,
-4,6,5,-2,Off,On,Off,On,2024-08-01T08:31:09.577897,Sun Exposure,
